run,epoch,env,straightness,probe_r2,m_emp,veracity,influence,sobriety_mcem,sobriety_madam,sobriety_ss,sr_cem,sr_mppi,sr_icem,sr_ps,sr_ms,sr_ss
sigreg_dmc_lambd0p09_seed1_104646,2,dmc,0.030666859151613362,0.453636657916929,40.252397932316555,0.05657412362804759,0.49088290161361653,0.0625,0.078125,0.03125,50.0,44.0,42.0,44.0,38.0,36.0
sigreg_dmc_lambd0p09_seed42_104648,10,dmc,-0.0402014152226718,0.5540696778979242,240.90961796719625,0.6814123582709544,1.0,0.25,0.171875,0.140625,70.0,52.0,80.0,66.0,76.0,74.0
sigreg_dmc_lambd0p09_seed7_104650,3,dmc,-0.004780652740340539,0.4739238072105334,74.9271808602778,0.10364973469018814,0.9137461080521683,0.109375,0.03125,0.109375,64.0,48.0,66.0,64.0,56.00000000000001,52.0
sigreg_dmc_lambd0p09_seed7_104650,5,dmc,-0.025470901750375505,0.5616809215670462,142.49526540067174,0.2496805143610935,1.0,0.25,0.125,0.078125,80.0,48.0,76.0,72.0,70.0,72.0
sigreg_dmc_lambd0p09_seed7_104650,7,dmc,-0.036597750843820144,0.5575368420913441,202.35137236227646,0.4733803550117699,1.0,0.21875,0.140625,0.140625,68.0,50.0,76.0,64.0,80.0,70.0
visreg_dmc_lambd4p5_102705,10,dmc,-0.031185024184801666,0.5482349513400808,247.40117460458592,0.6740483861814208,1.0,0.21875,0.234375,0.109375,74.0,52.0,76.0,68.0,78.0,72.0
visreg_dmc_lambd4p5_c0p5_s0p5_h2p0_103329,1,dmc,-0.3311905489355458,-0.00855323776546213,0.005082533866674993,1.3994195622132292e-05,6.198212032530479e-05,0.0,0.0,0.0,12.0,4.0,8.0,10.0,6.0,14.000000000000002
visreg_dmc_lambd4p5_lr1e-4_seed403_150688,7,dmc,-0.046255779131249335,0.5424576740456322,169.93324342915733,0.22763104405942575,1.0,0.28125,0.125,0.15625,64.0,54.0,72.0,68.0,57.99999999999999,64.0
visreg_dmc_lambd4p5_lr1e-4_seed729_150687,4,dmc,-0.02863548731937259,0.5529416301359547,121.36991545984232,0.151066769001556,1.0,0.1875,0.140625,0.109375,84.0,48.0,80.0,68.0,72.0,66.0
visreg_dmc_lambd4p5_lr1e-4_seed729_150687,8,dmc,-0.05115026423154253,0.5522718658754082,247.14384923681243,0.5300873991509152,1.0,0.296875,0.109375,0.15625,70.0,56.00000000000001,78.0,68.0,72.0,78.0
visreg_dmc_lambd4p5_seed1_104645,1,dmc,0.04110647821178289,0.40584590909296603,29.071742139832338,0.04604069219201932,0.35453344072966264,0.03125,0.015625,0.046875,24.0,38.0,22.0,24.0,24.0,26.0
visreg_dmc_lambd4p5_seed1_104645,4,dmc,-0.006622024768579388,0.5307713097588229,95.11060417478976,0.11725769495157788,1.0,0.09375,0.0625,0.078125,76.0,60.0,80.0,68.0,78.0,68.0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed403_184423,7,pusht,0.4514333876272571,0.897412908156097,157.62325387352973,0.6004653593975472,1.0,0.703125,0.578125,0.078125,92.0,72.0,92.0,54.0,94.0,84.0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,2,pusht,0.43149670740968504,0.7718442499393637,82.83501446892866,0.3600496896731635,1.0,0.296875,0.203125,0.015625,80.0,54.0,80.0,38.0,82.0,72.0
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,10,pusht,0.447668234389238,0.8949064343134744,183.80962910260487,0.7161360105877804,1.0,0.734375,0.640625,0.09375,94.0,72.0,88.0,60.0,96.0,74.0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,1,pusht,0.3364797619437586,0.724596782121241,18.86342533070905,0.19760373474278004,0.2300417723257201,0.046875,0.0,0.0,22.0,20.0,36.0,10.0,16.0,20.0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,4,pusht,0.4006187977879744,0.7859693834927698,106.93326591242902,0.4727104514996372,1.0,0.46875,0.328125,0.0,88.0,64.0,88.0,56.00000000000001,86.0,70.0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,8,pusht,0.4042823852318158,0.818071481062406,154.26962648266618,0.6501459985872707,1.0,0.71875,0.546875,0.03125,96.0,64.0,90.0,48.0,96.0,70.0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,10,pusht,0.40400842161419104,0.8185591404426823,159.83609735421237,0.6835597135368143,1.0,0.671875,0.578125,0.109375,98.0,64.0,88.0,46.0,94.0,72.0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,18,pusht,0.418807186653649,0.8751711581734635,153.57344346919635,0.5774119718938232,1.0,0.65625,0.484375,0.0,96.0,70.0,90.0,46.0,92.0,76.0
visreg_pusht_lambd4p5_lr1e-4_seed403_150685,1,pusht,0.4478144381457713,0.7937965023542793,65.75133476343711,0.34275432940495276,0.8018455458955746,0.28125,0.09375,0.0,70.0,56.00000000000001,74.0,32.0,68.0,56.00000000000001
visreg_pusht_lambd4p5_lr1e-4_seed46_150686,5,pusht,0.546415047837888,0.9249557926768945,140.90748384746038,0.4527849544927693,1.0,0.46875,0.4375,0.015625,98.0,62.0,90.0,46.0,94.0,78.0
visreg_pusht_lambd4p5_lr1e-4_seed729_150684,5,pusht,0.5270884334657885,0.9358156404900867,151.3821368249196,0.49563008907255307,1.0,0.5625,0.40625,0.09375,92.0,57.99999999999999,90.0,40.0,90.0,68.0
visreg_pusht_lambd4p5_lr1e-4_seed729_150684,6,pusht,0.5372768886319867,0.9305702661750596,165.96549283892642,0.5408186855586121,1.0,0.625,0.421875,0.046875,90.0,52.0,90.0,44.0,92.0,72.0
sigreg_tworoom_lambd0p09_h1_lr1e-4_seed46_206618,2,tworoom,-0.2363804893780927,0.9658248335933457,36.17023328727807,0.39261610655690177,0.4411004059424155,0.171875,0.0625,0.15625,86.0,78.0,86.0,82.0,94.0,60.0
sigreg_tworoom_lambd0p09_h1_lr1e-4_seed46_206618,9,tworoom,-0.31934753981049185,0.9824818311778911,137.809157241358,0.9894973307646994,1.0,0.8125,0.390625,0.515625,92.0,82.0,94.0,88.0,98.0,64.0
sigreg_tworoom_lambd0p09_h1_lr1e-4_seed729_206562,1,tworoom,-0.17617335402404685,0.985748837237448,17.515309711060688,0.24362746149671327,0.2136013379397645,0.125,0.0,0.046875,46.0,50.0,46.0,54.0,56.00000000000001,40.0
visreg_tworoom_lambd4p5_bs256_h1_lr1e-4_seed729_185697,4,tworoom,-0.29313413592648846,0.9773513514716932,50.37546230101179,0.5793747004548472,0.6143349061098998,0.421875,0.09375,0.28125,86.0,88.0,84.0,80.0,86.0,54.0
visreg_tworoom_lambd4p5_bs512_h1_lr1e-4_seed46_185702,7,tworoom,-0.31875550873001746,0.9815237978949634,91.91735151813654,0.927816171260681,1.0,0.65625,0.265625,0.421875,86.0,86.0,84.0,84.0,96.0,52.0
visreg_tworoom_lambd4p5_bs512_h1_lr1e-4_seed729_185700,9,tworoom,-0.3206782986836733,0.9851974281073418,108.9316473304263,0.9822396006028659,1.0,0.75,0.515625,0.296875,92.0,90.0,92.0,88.0,94.0,52.0
visreg_tworoom_lambd4p5_h1_102704,10,tworoom,-0.2980741243763853,0.9895200153003746,115.13855616097385,0.977378793596278,1.0,0.71875,0.515625,0.40625,96.0,88.0,100.0,90.0,94.0,57.99999999999999
visreg_tworoom_lambd4p5_h1_lr1e-4_seed403_150694,5,tworoom,-0.2907616885913098,0.9755328339342711,75.03371502674779,0.7646041254094685,0.9150453052042413,0.40625,0.109375,0.234375,98.0,84.0,94.0,88.0,92.0,60.0
visreg_tworoom_lambd4p5_h1_lr1e-4_seed403_150694,8,tworoom,-0.3101301521172598,0.9784156412221738,113.15163685691716,0.9559937679102907,1.0,0.703125,0.359375,0.4375,94.0,90.0,94.0,90.0,96.0,50.0
visreg_tworoom_lambd4p5_h1_lr1e-4_seed729_150693,6,tworoom,-0.30106275489153744,0.9841836452569154,93.37183024704669,0.8652076612229421,1.0,0.65625,0.34375,0.375,88.0,82.0,90.0,90.0,94.0,57.99999999999999
visreg_tworoom_lambd4p5_h1_lr3e-5_102918,1,tworoom,-0.14262957980548321,0.9795874339763062,2.5296919164882117,0.11011696436610002,0.03084990142058795,0.0,0.0,0.0,48.0,34.0,38.0,44.0,46.0,50.0
visreg_tworoom_lambd4p5_h1_lr3e-5_102918,4,tworoom,-0.25507034552701174,0.9901577124622456,58.10031506488737,0.7305104955370262,0.7085404276205777,0.421875,0.109375,0.1875,96.0,92.0,96.0,90.0,94.0,57.99999999999999
