run,env,method,n_seed,vis,veracity,influence,sobriety,m_emp,probe_r2,straightness,d_tol_grade,sigma_roll,tr_sigma_z
dinocls_pusht_s0,pusht,DINO-CLS-WM (ours),9,0.16752337714457946,0.48474711434246304,0.7626796579388507,0.453125,62.53973195098576,0.8273032101017147,-0.20452471995133517,9.205701638669717,7.0739053462449,158.93797194308945
dinocls_reacher_s0,dmc,DINO-CLS-WM (ours),9,0.21750268416326696,0.4490377995628737,1.0,0.484375,156.2247451818932,0.24653964385289162,-0.33015245006945076,4.716196496440616,3.9544247338005327,124.10094803962735
dinocls_tworoom_s0,tworoom,DINO-CLS-WM (ours),9,0.02759720789004606,0.2243435801519389,0.3280350359195252,0.375,26.898872945401067,0.9849919521230577,-0.33212088667146783,4.244396935337265,7.44672915083563,22.881469954395094
ext_intact_full_cube_s0,cube,INTACT,1,0.0242197285292274,0.3100125251741107,1.0,0.078125,110.14382312103183,0.9761882937420623,,6.182428962134887,7.749889664303549,143.17768670030057
ext_intact_full_cube_s3072,cube,INTACT,1,0.05261931745777431,0.3367636317297556,1.0,0.15625,122.93138852964042,0.9733525601082444,,6.306634419421562,7.241526324084424,142.13199428482045
ext_intact_full_cube_s42,cube,INTACT,1,0.1338164327698941,0.38928416805787375,1.0,0.34375,136.72308190384055,0.9697809089198208,,6.860755017669881,6.738757631416412,181.59645097539797
ext_intact_full_pusht_s0,pusht,INTACT,9,0.10560537864769262,0.33793721167261637,1.0,0.3125,121.29796871897915,0.8322794908300786,,5.674411449545577,6.491466958386103,226.8117451612663
ext_intact_full_pusht_s3072,pusht,INTACT,9,0.2089899744249257,0.36149617197824985,1.0,0.578125,132.41240003367386,0.7232195625392728,,5.862839864196604,6.23982881036661,236.63475601674332
ext_intact_full_pusht_s42,pusht,INTACT,9,0.15722000003390618,0.35936000007749985,1.0,0.4375,134.10168001911745,0.7132213366254928,,5.795053206880893,6.2071567848851315,227.37077126588815
ext_intact_full_reacher_s0,dmc,INTACT,9,0.040649205678315314,0.15303230373012824,1.0,0.265625,84.93700787603518,0.5590012205484931,,3.28764301746271,8.517701744522892,432.8791494228352
