run,env,task,d,eval_seed,planner,num_eval,success_rate
dinocls_pusht_s0,pusht,pusht,25,42,cem,50,42.0
dinocls_pusht_s0,pusht,pusht,25,1025,cem,50,52.0
dinocls_pusht_s0,pusht,pusht,25,2027,cem,50,46.0
dinocls_pusht_s0,pusht,pusht,25,3014,cem,50,50.0
dinocls_pusht_s0,pusht,pusht,25,5501,cem,50,36.0
dinocls_pusht_s0,pusht,pusht,25,8191,cem,50,46.0
dinocls_pusht_s0,pusht,pusht,25,60601,cem,50,50.0
dinocls_pusht_s0,pusht,pusht,25,65537,cem,50,42.0
dinocls_pusht_s0,pusht,pusht,25,90210,cem,50,56.00000000000001
dinocls_reacher_s0,dmc,dmc,25,42,cem,50,64.0
dinocls_reacher_s0,dmc,dmc,25,1025,cem,50,82.0
dinocls_reacher_s0,dmc,dmc,25,2027,cem,50,72.0
dinocls_reacher_s0,dmc,dmc,25,3014,cem,50,70.0
dinocls_reacher_s0,dmc,dmc,25,5501,cem,50,76.0
dinocls_reacher_s0,dmc,dmc,25,8191,cem,50,80.0
dinocls_reacher_s0,dmc,dmc,25,60601,cem,50,66.0
dinocls_reacher_s0,dmc,dmc,25,65537,cem,50,64.0
dinocls_reacher_s0,dmc,dmc,25,90210,cem,50,72.0
dinocls_tworoom_s0,tworoom,tworoom,25,42,cem,50,60.0
dinocls_tworoom_s0,tworoom,tworoom,25,1025,cem,50,74.0
dinocls_tworoom_s0,tworoom,tworoom,25,2027,cem,50,56.00000000000001
dinocls_tworoom_s0,tworoom,tworoom,25,3014,cem,50,60.0
dinocls_tworoom_s0,tworoom,tworoom,25,5501,cem,50,52.0
dinocls_tworoom_s0,tworoom,tworoom,25,8191,cem,50,64.0
dinocls_tworoom_s0,tworoom,tworoom,25,60601,cem,50,68.0
dinocls_tworoom_s0,tworoom,tworoom,25,65537,cem,50,62.0
dinocls_tworoom_s0,tworoom,tworoom,25,90210,cem,50,62.0
ext_intact_full_cube_s0,cube,cube,25,42,cem,50,76.0
ext_intact_full_cube_s3072,cube,cube,25,42,cem,50,74.0
ext_intact_full_cube_s42,cube,cube,25,42,cem,50,80.0
ext_intact_full_pusht_s0,pusht,pusht,25,42,cem,50,82.0
ext_intact_full_pusht_s0,pusht,pusht,25,1025,cem,50,74.0
ext_intact_full_pusht_s0,pusht,pusht,25,2027,cem,50,72.0
ext_intact_full_pusht_s0,pusht,pusht,25,3014,cem,50,80.0
ext_intact_full_pusht_s0,pusht,pusht,25,5501,cem,50,84.0
ext_intact_full_pusht_s0,pusht,pusht,25,8191,cem,50,74.0
ext_intact_full_pusht_s0,pusht,pusht,25,60601,cem,50,88.0
ext_intact_full_pusht_s0,pusht,pusht,25,65537,cem,50,82.0
ext_intact_full_pusht_s0,pusht,pusht,25,90210,cem,50,84.0
ext_intact_full_pusht_s3072,pusht,pusht,25,42,cem,50,92.0
ext_intact_full_pusht_s3072,pusht,pusht,25,1025,cem,50,78.0
ext_intact_full_pusht_s3072,pusht,pusht,25,2027,cem,50,80.0
ext_intact_full_pusht_s3072,pusht,pusht,25,3014,cem,50,88.0
ext_intact_full_pusht_s3072,pusht,pusht,25,5501,cem,50,72.0
ext_intact_full_pusht_s3072,pusht,pusht,25,8191,cem,50,76.0
ext_intact_full_pusht_s3072,pusht,pusht,25,60601,cem,50,84.0
ext_intact_full_pusht_s3072,pusht,pusht,25,65537,cem,50,80.0
ext_intact_full_pusht_s3072,pusht,pusht,25,90210,cem,50,82.0
ext_intact_full_pusht_s42,pusht,pusht,25,42,cem,50,80.0
ext_intact_full_pusht_s42,pusht,pusht,25,1025,cem,50,86.0
ext_intact_full_pusht_s42,pusht,pusht,25,2027,cem,50,72.0
ext_intact_full_pusht_s42,pusht,pusht,25,3014,cem,50,84.0
ext_intact_full_pusht_s42,pusht,pusht,25,5501,cem,50,86.0
ext_intact_full_pusht_s42,pusht,pusht,25,8191,cem,50,70.0
ext_intact_full_pusht_s42,pusht,pusht,25,60601,cem,50,82.0
ext_intact_full_pusht_s42,pusht,pusht,25,65537,cem,50,76.0
ext_intact_full_pusht_s42,pusht,pusht,25,90210,cem,50,74.0
ext_intact_full_reacher_s0,dmc,dmc,25,42,cem,50,78.0
ext_intact_full_reacher_s0,dmc,dmc,25,1025,cem,50,72.0
ext_intact_full_reacher_s0,dmc,dmc,25,2027,cem,50,78.0
ext_intact_full_reacher_s0,dmc,dmc,25,3014,cem,50,88.0
ext_intact_full_reacher_s0,dmc,dmc,25,5501,cem,50,68.0
ext_intact_full_reacher_s0,dmc,dmc,25,8191,cem,50,88.0
ext_intact_full_reacher_s0,dmc,dmc,25,60601,cem,50,78.0
ext_intact_full_reacher_s0,dmc,dmc,25,65537,cem,50,88.0
ext_intact_full_reacher_s0,dmc,dmc,25,90210,cem,50,80.0
ext_intact_full_reacher_s3072,dmc,dmc,25,42,cem,50,82.0
ext_intact_full_reacher_s3072,dmc,dmc,25,1025,cem,50,80.0
ext_intact_full_reacher_s3072,dmc,dmc,25,2027,cem,50,74.0
ext_intact_full_reacher_s3072,dmc,dmc,25,3014,cem,50,84.0
ext_intact_full_reacher_s3072,dmc,dmc,25,5501,cem,50,76.0
ext_intact_full_reacher_s3072,dmc,dmc,25,8191,cem,50,88.0
ext_intact_full_reacher_s3072,dmc,dmc,25,60601,cem,50,86.0
ext_intact_full_reacher_s3072,dmc,dmc,25,65537,cem,50,84.0
ext_intact_full_reacher_s3072,dmc,dmc,25,90210,cem,50,88.0
ext_intact_full_reacher_s42,dmc,dmc,25,42,cem,50,72.0
ext_intact_full_reacher_s42,dmc,dmc,25,1025,cem,50,82.0
ext_intact_full_reacher_s42,dmc,dmc,25,2027,cem,50,82.0
ext_intact_full_reacher_s42,dmc,dmc,25,3014,cem,50,86.0
ext_intact_full_reacher_s42,dmc,dmc,25,5501,cem,50,66.0
ext_intact_full_reacher_s42,dmc,dmc,25,8191,cem,50,84.0
ext_intact_full_reacher_s42,dmc,dmc,25,60601,cem,50,84.0
ext_intact_full_reacher_s42,dmc,dmc,25,65537,cem,50,84.0
ext_intact_full_reacher_s42,dmc,dmc,25,90210,cem,50,82.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,42,cem,50,56.00000000000001
ext_intact_full_tworoom_s0,tworoom,tworoom,25,1025,cem,50,54.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,2027,cem,50,42.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,3014,cem,50,48.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,5501,cem,50,56.00000000000001
ext_intact_full_tworoom_s0,tworoom,tworoom,25,8191,cem,50,56.00000000000001
ext_intact_full_tworoom_s0,tworoom,tworoom,25,60601,cem,50,60.0
