run,fold
sigreg_dmc_lambd0p09_103709,heldout
sigreg_dmc_lambd0p09_seed100_104652,heldout
sigreg_dmc_lambd0p09_seed1_104646,heldout
sigreg_dmc_lambd0p09_seed42_104648,heldout
sigreg_dmc_lambd0p09_seed7_104650,heldout
sigreg_pusht_lambd0p09_179619,dev
sigreg_pusht_lambd0p09_seed403_180833,dev
sigreg_pusht_lambd0p09_seed46_180832,heldout
sigreg_pusht_lambd0p09_seed729_180834,dev
visreg_dmc_lambd4p5_102705,heldout
visreg_dmc_lambd4p5_104380,heldout
visreg_dmc_lambd4p5_c0p5_s0p5_h2p0_103329,dev
visreg_dmc_lambd4p5_c0p5_s2p0_h0p5_103328,dev
visreg_dmc_lambd4p5_c1p5_s1p5_h0p0_103330,heldout
visreg_dmc_lambd4p5_c2p0_s0p5_h0p5_103327,heldout
visreg_dmc_lambd4p5_lr1e-4_seed403_150688,heldout
visreg_dmc_lambd4p5_lr1e-4_seed46_150689,heldout
visreg_dmc_lambd4p5_lr1e-4_seed729_150687,dev
visreg_dmc_lambd4p5_seed100_104651,heldout
visreg_dmc_lambd4p5_seed1_104645,heldout
visreg_dmc_lambd4p5_seed42_104647,dev
visreg_dmc_lambd4p5_seed7_104649,dev
visreg_pusht_lambd4p5_bs256_lr1e-4_seed403_184423,dev
visreg_pusht_lambd4p5_bs256_lr1e-4_seed46_184425,heldout
visreg_pusht_lambd4p5_bs256_lr1e-4_seed729_184421,dev
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,heldout
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,heldout
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,heldout
visreg_pusht_lambd4p5_bs512_lr1e-4_seed729_184422,heldout
visreg_pusht_lambd4p5_bs512_lr2e-4_seed729_183126,heldout
visreg_pusht_lambd4p5_lr1e-4_seed403_150685,heldout
visreg_pusht_lambd4p5_lr1e-4_seed46_150686,heldout
visreg_pusht_lambd4p5_lr1e-4_seed729_150684,dev
visreg_tworoom_lambd4p5_bs256_h1_lr1e-4_seed403_185698,heldout
visreg_tworoom_lambd4p5_bs256_h1_lr1e-4_seed46_185699,heldout
visreg_tworoom_lambd4p5_bs256_h1_lr1e-4_seed729_185697,heldout
visreg_tworoom_lambd4p5_bs512_h1_lr1e-4_seed403_185701,heldout
visreg_tworoom_lambd4p5_bs512_h1_lr1e-4_seed46_185702,heldout
visreg_tworoom_lambd4p5_bs512_h1_lr1e-4_seed729_185700,heldout
visreg_tworoom_lambd4p5_h1_102704,dev
visreg_tworoom_lambd4p5_h1_lr1e-4_102916,heldout
visreg_tworoom_lambd4p5_h1_lr1e-4_seed403_150694,heldout
visreg_tworoom_lambd4p5_h1_lr1e-4_seed46_150695,heldout
visreg_tworoom_lambd4p5_h1_lr1e-4_seed729_150693,heldout
visreg_tworoom_lambd4p5_h1_lr2e-5_102919,dev
visreg_tworoom_lambd4p5_h1_lr3e-5_102918,dev
visreg_tworoom_lambd4p5_h1_lr7e-5_102917,heldout
