run,env,epoch,fold,in_development,in_heldout,in_heldout_dataset,in_heldout_method,in_calibration_fit,sr_development,sr_heldout,sr_heldout_method,method,vis,veracity,influence,sobriety,m_emp,probe_r2,straightness,d_tol_grade,sigma_roll,tr_sigma_z,sr_heldout_dataset,in_cube_reference
ext_intact_full_cube_s0,cube,0,heldout-method,0,0,0,1,0,nan,nan,76.0,INTACT,0.0242197285292274,0.3100125251741107,1.0,0.078125,110.14382312103183,0.9761882937420623,nan,6.182428962134887,7.749889664303549,143.17768670030057,nan,0
ext_intact_full_cube_s3072,cube,0,heldout-method,0,0,0,1,0,nan,nan,74.0,INTACT,0.05261931745777431,0.3367636317297556,1.0,0.15625,122.93138852964042,0.9733525601082444,nan,6.306634419421562,7.241526324084424,142.13199428482045,nan,0
ext_intact_full_cube_s42,cube,0,heldout-method,0,0,0,1,0,nan,nan,80.0,INTACT,0.1338164327698941,0.38928416805787375,1.0,0.34375,136.72308190384055,0.9697809089198208,nan,6.860755017669881,6.738757631416412,181.59645097539797,nan,0
ext_qantara_cube_s11,cube,0,heldout-method,0,0,0,1,0,nan,nan,90.0,Qantara,0.8904335719874786,0.9997850632841865,1.0,0.890625,159.8953007854166,0.9001008613652958,0.5117089109694329,10.324472206194164,1.3949044188743835,207.79412571228036,nan,0
ext_qantara_cube_s22,cube,0,heldout-method,0,0,0,1,0,nan,nan,87.33333333333333,Qantara,0.9062486471969331,0.9999985072517883,1.0,0.90625,197.03408817753282,0.9012775064209192,0.5281157703968233,11.1356909988887,1.1570260594689699,208.75416138090574,nan,0
ext_qantara_cube_s33,cube,0,heldout-method,0,0,0,1,0,nan,nan,90.66666666666667,Qantara,0.9218739558943434,0.9999988674108132,1.0,0.921875,194.82712280878573,0.9029285996499624,0.523993109498665,11.390681633989594,1.1701760113661492,206.72591962913907,nan,0
ext_rcaux_cube,cube,0,heldout-method,0,0,0,1,0,nan,nan,74.66666666666667,RC-aux,0.36486209650160034,0.8648583028186082,1.0,0.421875,187.29853444095895,0.9884379446565332,0.42338738508251494,8.338512125438477,2.790424279506973,192.12731598523865,nan,0
visreg_ogb_lambd4p5_102702,cube,1,unsplit,0,0,0,0,0,64.0,nan,nan,,0.11829474942723385,0.5047242642228644,1.0,0.234375,105.86349327720197,0.8884015091476711,0.04637073405331141,5.405592814423872,3.9633826526058384,187.1604727791339,nan,1
visreg_ogb_lambd4p5_102702,cube,2,unsplit,0,0,0,0,0,74.0,nan,nan,,0.4978529452285356,0.7586330593958638,1.0,0.65625,162.50108551490086,0.9357375398120192,0.0689523317816275,5.626627872038847,2.401305265567727,179.40799491077536,nan,1
visreg_ogb_lambd4p5_102702,cube,3,unsplit,0,0,0,0,0,70.0,74.0,nan,,0.5420126322797444,0.788382010588719,1.0,0.6875,183.03633552315097,0.9549738643124724,0.08590505620148343,5.657058584651188,2.264401735332491,174.6380039178237,nan,1
