run,env,task,d,epoch,eval_seed,planner,num_eval,success_rate,group,train_seed,source
ext_intact_full_cube_s0,cube,cube,25,0,42,cem,50,76.0,,,pool:heldout-method
ext_intact_full_cube_s3072,cube,cube,25,0,42,cem,50,74.0,,,pool:heldout-method
ext_intact_full_cube_s42,cube,cube,25,0,42,cem,50,80.0,,,pool:heldout-method
ext_qantara_cube_s11,cube,cube,25,0,1025,cem,50,80.0,,,pool:heldout-method
ext_qantara_cube_s11,cube,cube,25,0,3014,cem,50,94.0,,,pool:heldout-method
ext_qantara_cube_s11,cube,cube,25,0,42,cem,50,96.0,,,pool:heldout-method
ext_qantara_cube_s22,cube,cube,25,0,1025,cem,50,80.0,,,pool:heldout-method
ext_qantara_cube_s22,cube,cube,25,0,3014,cem,50,90.0,,,pool:heldout-method
ext_qantara_cube_s22,cube,cube,25,0,42,cem,50,92.0,,,pool:heldout-method
ext_qantara_cube_s33,cube,cube,25,0,1025,cem,50,82.0,,,pool:heldout-method
ext_qantara_cube_s33,cube,cube,25,0,3014,cem,50,96.0,,,pool:heldout-method
ext_qantara_cube_s33,cube,cube,25,0,42,cem,50,94.0,,,pool:heldout-method
ext_rcaux_cube,cube,cube,25,0,1025,cem,50,70.0,,,pool:heldout-method
ext_rcaux_cube,cube,cube,25,0,3014,cem,50,76.0,,,pool:heldout-method
ext_rcaux_cube,cube,cube,25,0,42,cem,50,78.0,,,pool:heldout-method
sigreg_clsrecon_lowratio_ogb_lambd0p09_116378,cube,cube,25,1,2027,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_lowratio_ogb_lambd0p09_116378,cube,cube,25,1,8191,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_lowratio_ogb_lambd0p09_116378,cube,cube,25,3,2027,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_lowratio_ogb_lambd0p09_116378,cube,cube,25,3,8191,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_lowratio_ogb_lambd0p09_116378,cube,cube,25,5,2027,cem,50,72.0,,,pool:heldout
sigreg_clsrecon_lowratio_ogb_lambd0p09_116378,cube,cube,25,5,8191,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_ogb_lambd0p09_115447,cube,cube,25,7,2027,cem,50,78.0,,,pool:heldout
sigreg_clsrecon_ogb_lambd0p09_115447,cube,cube,25,7,8191,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_sepproj_ogb_lambd0p09_116009,cube,cube,25,2,2027,cem,50,72.0,,,pool:heldout
sigreg_clsrecon_sepproj_ogb_lambd0p09_116009,cube,cube,25,2,8191,cem,50,72.0,,,pool:heldout
sigreg_clsrecon_sepproj_ogb_lambd0p09_116009,cube,cube,25,3,2027,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_sepproj_ogb_lambd0p09_116009,cube,cube,25,3,8191,cem,50,72.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,2,2027,cem,50,72.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,2,8191,cem,50,70.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,3,2027,cem,50,70.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,3,8191,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,5,2027,cem,50,70.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,5,8191,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,10,2027,cem,50,70.0,,,pool:heldout
sigreg_clsrecon_w0p01_ogb_lambd0p09_116379,cube,cube,25,10,8191,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_w0p1_ogb_lambd0p09_116380,cube,cube,25,4,2027,cem,50,66.0,,,pool:heldout
sigreg_clsrecon_w0p1_ogb_lambd0p09_116380,cube,cube,25,4,8191,cem,50,64.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_ogb_lambd0p09_116742,cube,cube,25,2,2027,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_ogb_lambd0p09_116742,cube,cube,25,2,8191,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_ogb_lambd0p09_116742,cube,cube,25,7,2027,cem,50,72.0,,,pool:heldout
